Phyla,Receptor,Unique_species
Archosauria,GPR42,0
Lepidosauria,GPR42,0
Testudines,GPR42,0
Amphibia,GPR42,0
Dipnomorpha,GPR42,0
Coelacanthiformes,GPR42,0
Actinopterygii,GPR42,0
Chondrichthyes,GPR42,0
Cyclostomata,GPR42,0
Tunicata,GPR42,0
Cephalochordata,GPR42,0
Hemichordata,GPR42,0
Echinodermata,GPR42,0
Annelida,GPR42,0
Mollusca,GPR42,0
Arthropoda,GPR42,0
Cnidaria,GPR42,0
Placozoa,GPR42,0
Mammalia,GPR55/LIKE,2
Archosauria,GPR55/LIKE,116
Lepidosauria,GPR55/LIKE,9
Testudines,GPR55/LIKE,8
Amphibia,GPR55/LIKE,2
Dipnomorpha,GPR55/LIKE,0
Coelacanthiformes,GPR55/LIKE,1
Actinopterygii,GPR55/LIKE,49
Chondrichthyes,GPR55/LIKE,10
Cyclostomata,GPR55/LIKE,0
Tunicata,GPR55/LIKE,0
Cephalochordata,GPR55/LIKE,0
Hemichordata,GPR55/LIKE,0
Echinodermata,GPR55/LIKE,0
Annelida,GPR55/LIKE,0
Mollusca,GPR55/LIKE,0
Arthropoda,GPR55/LIKE,0
Cnidaria,GPR55/LIKE,0
Placozoa,GPR55/LIKE,0
Mammalia,GPR55,204
Archosauria,GPR55,383
Lepidosauria,GPR55,0
Testudines,GPR55,13
Amphibia,GPR55,6
Dipnomorpha,GPR55,1
Coelacanthiformes,GPR55,1
Actinopterygii,GPR55,165
Chondrichthyes,GPR55,2
Cyclostomata,GPR55,0
Tunicata,GPR55,0
Cephalochordata,GPR55,0
Hemichordata,GPR55,0
Echinodermata,GPR55,0
Annelida,GPR55,0
Mollusca,GPR55,0
Arthropoda,GPR55,0
Cnidaria,GPR55,0
Placozoa,GPR55,0
Mammalia,GPR6,207
Archosauria,GPR6,371
Lepidosauria,GPR6,22
Testudines,GPR6,14
Amphibia,GPR6,14
Dipnomorpha,GPR6,1
Coelacanthiformes,GPR6,1
Actinopterygii,GPR6,171
Chondrichthyes,GPR6,10
Cyclostomata,GPR6,0
Tunicata,GPR6,0
