Phyla,Receptor,Sequences
Placozoa,LTB4R1,0
Mammalia,LTB4R2,191
Archosauria,LTB4R2,6
Lepidosauria,LTB4R2,16
Testudines,LTB4R2,12
Amphibia,LTB4R2,15
Dipnomorpha,LTB4R2,0
Coelacanthiformes,LTB4R2,1
Actinopterygii,LTB4R2,267
Chondrichthyes,LTB4R2,0
Cyclostomata,LTB4R2,0
Tunicata,LTB4R2,0
Cephalochordata,LTB4R2,0
Hemichordata,LTB4R2,0
Echinodermata,LTB4R2,0
Annelida,LTB4R2,0
Mollusca,LTB4R2,0
Arthropoda,LTB4R2,0
Cnidaria,LTB4R2,0
Placozoa,LTB4R2,0
Mammalia,OXER1,145
Archosauria,OXER1,0
Lepidosauria,OXER1,0
Testudines,OXER1,5
Amphibia,OXER1,0
Dipnomorpha,OXER1,0
Coelacanthiformes,OXER1,1
Actinopterygii,OXER1,19
Chondrichthyes,OXER1,0
Cyclostomata,OXER1,0
Tunicata,OXER1,0
Cephalochordata,OXER1,0
Hemichordata,OXER1,0
Echinodermata,OXER1,0
Annelida,OXER1,0
Mollusca,OXER1,0
Arthropoda,OXER1,0
Cnidaria,OXER1,0
Placozoa,OXER1,0
Mammalia,OXGR1,342
Archosauria,OXGR1,472
Lepidosauria,OXGR1,25
Testudines,OXGR1,34
Amphibia,OXGR1,38
Dipnomorpha,OXGR1,4
Coelacanthiformes,OXGR1,0
Actinopterygii,OXGR1,431
Chondrichthyes,OXGR1,0
Cyclostomata,OXGR1,0
Tunicata,OXGR1,0
Cephalochordata,OXGR1,0
Hemichordata,OXGR1,0
Echinodermata,OXGR1,0
Annelida,OXGR1,0
Mollusca,OXGR1,0
Arthropoda,OXGR1,0
Cnidaria,OXGR1,0
Placozoa,OXGR1,0
Mammalia,P2RY10,333
Archosauria,P2RY10,410
Lepidosauria,P2RY10,49
Testudines,P2RY10,31
Amphibia,P2RY10,15
Dipnomorpha,P2RY10,1
Coelacanthiformes,P2RY10,1
Actinopterygii,P2RY10,150
Chondrichthyes,P2RY10,9
Cyclostomata,P2RY10,0
Tunicata,P2RY10,0
Cephalochordata,P2RY10,0
Hemichordata,P2RY10,0
Echinodermata,P2RY10,0
Annelida,P2RY10,0
Mollusca,P2RY10,0
Arthropoda,P2RY10,0
Cnidaria,P2RY10,0
Placozoa,P2RY10,0
Mammalia,PTAFR/LIKE,69
Archosauria,PTAFR/LIKE,138
Lepidosauria,PTAFR/LIKE,31
Testudines,PTAFR/LIKE,12
Amphibia,PTAFR/LIKE,3
Dipnomorpha,PTAFR/LIKE,1
Coelacanthiformes,PTAFR/LIKE,1
Actinopterygii,PTAFR/LIKE,6
Chondrichthyes,PTAFR/LIKE,20
Cyclostomata,PTAFR/LIKE,0
Tunicata,PTAFR/LIKE,0
Cephalochordata,PTAFR/LIKE,0
Hemichordata,PTAFR/LIKE,0
Echinodermata,PTAFR/LIKE,0
Annelida,PTAFR/LIKE,0
Mollusca,PTAFR/LIKE,0
Arthropoda,PTAFR/LIKE,0
Cnidaria,PTAFR/LIKE,0
Placozoa,PTAFR/LIKE,0
Mammalia,PTAFR,217
Archosauria,PTAFR,399
Lepidosauria,PTAFR,20
Testudines,PTAFR,12
Amphibia,PTAFR,13
Dipnomorpha,PTAFR,1
Coelacanthiformes,PTAFR,2
Actinopterygii,PTAFR,250
Chondrichthyes,PTAFR,8
Cyclostomata,PTAFR,0
Tunicata,PTAFR,0
Cephalochordata,PTAFR,0
Hemichordata,PTAFR,0
Echinodermata,PTAFR,0
Annelida,PTAFR,0
Mollusca,PTAFR,0
Arthropoda,PTAFR,0
Cnidaria,PTAFR,0
Placozoa,PTAFR,0
Mammalia,PTGDR2,190
Archosauria,PTGDR2,0
Lepidosauria,PTGDR2,0
Testudines,PTGDR2,0
Amphibia,PTGDR2,3
Dipnomorpha,PTGDR2,2
Coelacanthiformes,PTGDR2,1
Actinopterygii,PTGDR2,285
Chondrichthyes,PTGDR2,0
Cyclostomata,PTGDR2,0
Tunicata,PTGDR2,0
Cephalochordata,PTGDR2,0
Hemichordata,PTGDR2,0
Echinodermata,PTGDR2,0
Annelida,PTGDR2,0
Mollusca,PTGDR2,0
Arthropoda,PTGDR2,0
Cnidaria,PTGDR2,0
Placozoa,PTGDR2,0
Mammalia,PTGDR,197
Archosauria,PTGDR,112
Lepidosauria,PTGDR,16
Testudines,PTGDR,14
Amphibia,PTGDR,13
Dipnomorpha,PTGDR,1
Coelacanthiformes,PTGDR,1
Actinopterygii,PTGDR,15
Chondrichthyes,PTGDR,9
Cyclostomata,PTGDR,0
Tunicata,PTGDR,0
Cephalochordata,PTGDR,0
Hemichordata,PTGDR,0
Echinodermata,PTGDR,0
Annelida,PTGDR,0
Mollusca,PTGDR,0
Arthropoda,PTGDR,0
Cnidaria,PTGDR,0
Placozoa,PTGDR,0
Cyclostomata,PTGDR|PTGIR,3
Mammalia,PTGER1,235
Archosauria,PTGER1,2
Lepidosauria,PTGER1,33
Testudines,PTGER1,15
Amphibia,PTGER1,25
Dipnomorpha,PTGER1,1
Coelacanthiformes,PTGER1,1
Actinopterygii,PTGER1,629
Chondrichthyes,PTGER1,16
Cyclostomata,PTGER1,0
Tunicata,PTGER1,0
Cephalochordata,PTGER1,0
Hemichordata,PTGER1,0
Echinodermata,PTGER1,0
Annelida,PTGER1,0
Mollusca,PTGER1,0
Arthropoda,PTGER1,0
Cnidaria,PTGER1,0
Placozoa,PTGER1,0
Mammalia,PTGER2,195
Archosauria,PTGER2,94
Lepidosauria,PTGER2,14
Testudines,PTGER2,11
Amphibia,PTGER2,11
Dipnomorpha,PTGER2,1
Coelacanthiformes,PTGER2,1
Actinopterygii,PTGER2,170
Chondrichthyes,PTGER2,10
Cyclostomata,PTGER2,0
