Phyla,Receptor,Mode
Cnidaria,GPR87,0
Placozoa,GPR87,0
Mammalia,LPAR1,1
Archosauria,LPAR1,1
Lepidosauria,LPAR1,1
Testudines,LPAR1,1
Amphibia,LPAR1,1
Dipnomorpha,LPAR1,1
Coelacanthiformes,LPAR1,1
Actinopterygii,LPAR1,1
Chondrichthyes,LPAR1,1
Tunicata,LPAR1,0
Cephalochordata,LPAR1,0
Hemichordata,LPAR1,0
Echinodermata,LPAR1,0
Annelida,LPAR1,0
Mollusca,LPAR1,0
Arthropoda,LPAR1,0
Cnidaria,LPAR1,0
Placozoa,LPAR1,0
Mammalia,LPAR2,1
Archosauria,LPAR2,1
Lepidosauria,LPAR2,1
Testudines,LPAR2,1
Amphibia,LPAR2,1
Dipnomorpha,LPAR2,1
Coelacanthiformes,LPAR2,0
Actinopterygii,LPAR2,1
Chondrichthyes,LPAR2,1
Cyclostomata,LPAR2,0
Tunicata,LPAR2,0
Cephalochordata,LPAR2,0
Hemichordata,LPAR2,0
Echinodermata,LPAR2,0
Annelida,LPAR2,0
Mollusca,LPAR2,0
Arthropoda,LPAR2,0
Cnidaria,LPAR2,0
Placozoa,LPAR2,0
Mammalia,LPAR3,1
Archosauria,LPAR3,1
Lepidosauria,LPAR3,1
Testudines,LPAR3,1
Amphibia,LPAR3,1
Dipnomorpha,LPAR3,1
Coelacanthiformes,LPAR3,1
Actinopterygii,LPAR3,1
Chondrichthyes,LPAR3,1
Cyclostomata,LPAR3,0
Tunicata,LPAR3,0
Cephalochordata,LPAR3,0
Hemichordata,LPAR3,0
Echinodermata,LPAR3,0
Annelida,LPAR3,0
Mollusca,LPAR3,0
Arthropoda,LPAR3,0
Cnidaria,LPAR3,0
Placozoa,LPAR3,0
Cyclostomata,LPAR1|LPAR3,3
Mammalia,LPAR4,1
Archosauria,LPAR4,1
Lepidosauria,LPAR4,1
Testudines,LPAR4,1
Amphibia,LPAR4,1
Dipnomorpha,LPAR4,1
Coelacanthiformes,LPAR4,1
Actinopterygii,LPAR4,1
Chondrichthyes,LPAR4,1
Cyclostomata,LPAR4,0
Tunicata,LPAR4,0
Cephalochordata,LPAR4,0
Hemichordata,LPAR4,0
Echinodermata,LPAR4,0
Annelida,LPAR4,0
Mollusca,LPAR4,0
Arthropoda,LPAR4,0
Cnidaria,LPAR4,0
Placozoa,LPAR4,0
Mammalia,LPAR5,1
Archosauria,LPAR5,1
Lepidosauria,LPAR5,1
Testudines,LPAR5,1
Amphibia,LPAR5,1
Dipnomorpha,LPAR5,2
Coelacanthiformes,LPAR5,1
Actinopterygii,LPAR5,0
Chondrichthyes,LPAR5,1
Cyclostomata,LPAR5,0
Tunicata,LPAR5,0
Cephalochordata,LPAR5,0
Hemichordata,LPAR5,0
Echinodermata,LPAR5,0
Annelida,LPAR5,0
Mollusca,LPAR5,0
Arthropoda,LPAR5,0
Cnidaria,LPAR5,0
Placozoa,LPAR5,0
Mammalia,LPAR6,1
Archosauria,LPAR6,1
Lepidosauria,LPAR6,1
Testudines,LPAR6,1
Amphibia,LPAR6,1
Dipnomorpha,LPAR6,1
Coelacanthiformes,LPAR6,1
Actinopterygii,LPAR6,2
Chondrichthyes,LPAR6,1
Cyclostomata,LPAR6,0
Tunicata,LPAR6,0
Cephalochordata,LPAR6,0
Hemichordata,LPAR6,0
Echinodermata,LPAR6,0
Annelida,LPAR6,0
Mollusca,LPAR6,0
Arthropoda,LPAR6,0
Cnidaria,LPAR6,0
Placozoa,LPAR6,0
Lepidosauria,LPAR4|LPAR5,1
Testudines,LPAR4|LPAR5,1
Amphibia,LPAR4|LPAR5,1
Coelacanthiformes,LPAR4|LPAR5,1
Actinopterygii,LPAR4|LPAR5,1
Chondrichthyes,LPAR4|LPAR5,2
Cyclostomata,LPAR4|LPAR5,1
Archosauria,LTB4R1|LTB4R2,1
Lepidosauria,LTB4R1|LTB4R2,1
Actinopterygii,LTB4R1|LTB4R2,1
Chondrichthyes,LTB4R1|LTB4R2,6
Mammalia,LTB4R1,1
Archosauria,LTB4R1,1
Lepidosauria,LTB4R1,1
Testudines,LTB4R1,1
Amphibia,LTB4R1,1
Dipnomorpha,LTB4R1,0
Coelacanthiformes,LTB4R1,1
